SMILES,ID,mNaCT pIC50
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3cc(F)ccc3F)Cc12,58,6.41078594203784
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3cc(O)c(O)c(c3)[N+]([O-])=O)Cc12,59,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3cc(cs3)C#N)Cc12,60,5.66374603302425
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3cc4cc(Cl)ccc4[nH]3)Cc12,61,5.78375519455386
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3cc4cc(F)ccc4n3C)Cc12,62,6.84864992492743
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(C#N)c(F)c3)Cc12,63,5.85663389675412
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(C=C)cc3)Cc12,64,6.89598695396974
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(F)c(F)c3)Cc12,65,6.16203406669445
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(F)c(c3)C#N)Cc12,66,5.74560137910681
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(F)cc3)Cc12,67,6.23087592998754
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(F)s3)Cc12,68,6.38088397351899
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(NC(C)=O)cc3)Cc12,69,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(OC(C)C)c(F)c3)Cc12,70,7.48683581435822
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(OC(F)F)cc3)Cc12,71,6.98641406071889
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(OC)cc3)Cc12,72,6.00809101265504
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(OC)cc3OC)Cc12,73,6.03534291426434
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(c(F)c3)S(C)(=O)=O)Cc12,74,5.71242675686895
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(cc3)C#N)Cc12,75,6.24427423341146
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(cc3)C(N)=O)Cc12,76,4.69897000433602
COCCNc1nc(Cl)c(C#N)c2CCN(Cc3ccc(cc3)N(C)C)Cc12,77,6.16029059457077
